listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Light showers/rain,idWeatherType = Mist,idWeatherType = No information,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Drizzle,idWeatherType = Rain and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Snow showers,idWeatherType = Fog,idWeatherType = Cloudy (High cloud),idWeatherType = Hail,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Frost,idWeatherType = Cloudy,idWeatherType = Rain/showers,idWeatherType = Intermittent ligth rain,idWeatherType = Rain and snow,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Convective clouds,idWeatherType = Intermittent rain,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Very,classWindSpeed = Strong,classPrecInt = No precipitation,classPrecInt = Moderate,classPrecInt = Strong,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.912,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.676,0.647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.786,0.682,0.166,0.593
0.915,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.608,0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.311,0.291,0.166,0.593
0.918,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.411,0.476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.42,0.44,0.166,0.593
0.92,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.568,0.496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.399,0.44,0.166,0.593
0.923,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.641,0.585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.66,0.743,0.166,0.593
0.926,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.619,0.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.905,0.637,0.166,0.593
0.929,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.51,0.546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.792,0.414,0.166,0.593
0.932,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.528,0.522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.829,0.64,0.166,0.593
0.935,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.45,0.434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.681,0.579,0.166,0.593
0.938,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.543,0.543,0.9,0.055,0.674,0.583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.683,0.752,0.166,0.593
0.674,0.0,0.514,0.7,0.215,0.839,0.624,0,0.15,0.686,0.7,0.58,0.068,0.514,0.506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.081,0.461,0.772,0.5
0.676,0.0,0.514,0.7,0.215,0.839,0.624,0,0.15,0.686,0.7,0.58,0.068,0.525,0.552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.832,0.398,0.772,0.5
0.679,0.0,0.514,0.7,0.215,0.839,0.624,0,0.15,0.686,0.7,0.58,0.068,0.496,0.508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.216,0.44,0.772,0.5
0.682,0.0,0.514,0.7,0.215,0.839,0.624,0,0.15,0.686,0.7,0.58,0.068,0.552,0.478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.58,0.919,0.772,0.5
0.685,0.0,0.514,0.7,0.215,0.839,0.624,0,0.15,0.686,0.7,0.58,0.068,0.571,0.568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.504,0.868,0.772,0.5
0.688,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.643,0.657,0.62,0.069,0.576,0.526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.143,0.386,0.772,0.5
0.692,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.643,0.657,0.62,0.069,0.572,0.511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.178,0.377,0.772,0.5
0.694,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.643,0.657,0.62,0.069,0.388,0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.325,0.399,0.772,0.5
0.697,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.643,0.657,0.62,0.069,0.576,0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.504,0.694,0.772,0.5
0.701,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.657,0.657,0.64,0.069,0.548,0.552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.516,0.579,0.466,0.531
0.704,0.0,0.514,0.7,0.215,0.839,0.624,0,0.2,0.657,0.657,0.64,0.069,0.445,0.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.192,0.614,0.466,0.531
