filename,chroma_sftf_mean,chroma_sftf_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
The White Stripes - Seven Nation Army (Official Music Video).mp3,0.454383,0.09166073,0.14949545,0.0026906063,2057.1622248576837,1250693.948401263,2327.9213588233806,177288.22727388667,4085.8919598369775,5108307.306064618,0.07844812729779412,0.005911990804786002,-2.739196e-05,0.012202905,-0.0010763544,-0.0010763544,123.046875,-173.68575,9672.248,80.38204,1481.8531,33.876713,877.1809,57.99596,498.5138,1.8751501,311.40305,21.455992,137.09818,14.244071,101.69128,16.915962,65.200226,1.0197196,59.25145,8.082266,75.39817,4.35213,59.63209,7.652027,46.573513,0.1444369,54.372158,7.1153145,50.119957,-5.3789396,49.17154,2.7681503,54.890545,-4.994214,49.89877,1.2857523,55.06684,-1.9992954,74.88199,5.7750993,77.715355
Tina Turner - What's Love Got To Do With It (Official Music Video).mp3,0.28879714,0.09083739,0.16001052,0.0026649944,2256.1467930502536,530460.716658056,2373.00242678379,201300.40276482268,4745.629637160168,3087691.2567355637,0.10702127273606811,0.001954317155740076,-3.9412987e-07,0.017079333,-9.156738e-06,-9.156738e-06,99.38401442307692,-111.88042,5204.723,93.08914,981.8234,1.4509383,571.5889,17.897093,346.80035,-2.0926313,352.40964,19.468754,243.48177,-3.404628,147.08896,0.2320516,119.565834,-2.4202163,102.69236,6.291368,99.20503,-5.1961136,89.99552,-1.5999353,195.80528,-1.8864006,111.35871,1.7308369,144.47032,-5.495453,112.374664,-0.1425991,177.17348,-1.2658472,156.31334,0.7309278,140.42422,-8.256937,174.32822,-0.7292705,138.25702
Tom Odell - Another Love (Lyrics).mp3,0.36277255,0.08170189,0.19710934,0.0024257102,1682.7070366688276,638422.5126338174,1991.0463735389083,333135.4805209894,3459.0874167049633,3187254.9443025948,0.07462691079721362,0.0014905662384605797,5.1007964e-06,0.023724332,5.20136e-05,5.20136e-05,123.046875,-82.318634,2524.483,132.61081,967.70044,-6.234433,460.32397,26.351223,241.56003,-4.4207497,291.38297,2.795195,98.87727,4.854014,92.077156,1.199971,61.238094,-3.3401976,68.67754,1.8540975,70.69551,9.052372,84.46538,7.404425,50.827858,-3.9577541,87.651825,8.748082,65.3261,-3.7736166,68.10536,0.5331088,60.94056,-2.731448,54.03707,-0.71685266,46.256084,-2.4716997,47.41456,3.4429746,56.146732
twenty one pilots - Stressed Out [OFFICIAL VIDEO].mp3,0.4639302,0.087110914,0.27912962,0.012409223,2505.695670436303,1861290.4183268268,2698.147622893277,424282.1420044227,5422.6172101756,6997509.689054401,0.09108864043150154,0.008826720055729494,4.6440277e-06,0.04740389,3.0224088e-05,3.0224088e-05,172.265625,-80.87051,6892.2734,80.78945,2401.3157,32.81151,701.7632,32.390026,324.37915,13.799554,265.55887,14.043631,254.21928,11.065756,163.5739,9.508246,184.09232,7.423287,159.63336,11.556364,113.11153,-2.1568913,97.80204,9.760731,117.2123,0.90057695,81.561386,5.851595,70.76951,-0.2538935,84.48179,2.1205487,51.449,0.40253773,66.51433,3.2373698,53.532917,-3.6655307,55.88804,-1.20479,70.45898
U2 - With Or Without You (Official Music Video).mp3,0.4059735,0.08533764,0.13915768,0.0005720094,1499.8640590181897,613309.4670651949,2114.233418668484,296503.18207196693,3299.730046983843,3505092.275522701,0.0479736328125,0.001056161135342837,-5.7754114e-06,0.015844803,-3.2542783e-05,-3.2542783e-05,112.34714673913044,-185.6041,3278.291,115.800575,1342.221,20.30557,448.66925,44.07948,175.16725,20.973038,204.9313,21.963608,169.49266,7.7645116,96.451866,10.795221,164.26744,-0.718373,93.753845,10.467774,73.620255,5.195654,79.88218,7.9061956,73.55135,-2.1206136,71.710106,2.8484852,64.499306,1.0723257,94.88517,10.667327,63.113583,-4.223954,60.66467,2.332275,79.62247,-6.249861,93.2947,7.8641853,207.41241
Wham! - Wake Me Up Before You Go-Go (Official Video).mp3,0.39761508,0.08560919,0.18109857,0.001973718,2813.26036267338,530462.3265769808,2581.2265440866586,118775.03407381078,5676.190676851538,2075914.1495947163,0.14665293029218265,0.0042877924405841416,2.9436019e-06,0.015269087,4.5269153e-06,4.5269153e-06,161.4990234375,-32.860302,1703.7544,70.47987,777.8193,-15.057008,364.6697,24.658527,230.30696,6.732599,133.134,1.4840969,163.68375,2.8530242,80.2244,13.648501,66.35599,-9.948787,88.87754,11.24966,76.00908,-7.6184998,49.332745,-2.7417355,53.446266,-3.7445965,38.966892,-3.2952702,57.605637,-6.5846376,42.802067,-0.8963563,56.686478,-8.83279,84.57378,-0.9796044,77.49069,-5.0223937,100.206436,6.36993,91.44043
Whitney Houston - I Wanna Dance With Somebody (Lyrics).mp3,0.36700058,0.08890133,0.12190711,0.0016238859,3427.582619502681,444845.41912728676,2890.155477690854,54560.04957838317,6994.007708192241,924692.0150495291,0.1924028426131966,0.005817761883619657,1.6130828e-08,0.007571702,-9.026216e-06,-9.026216e-06,117.45383522727273,-64.50497,1985.969,50.16143,485.0744,0.3926435,444.08542,14.113127,286.83832,-6.391076,130.89091,3.8667817,193.55348,3.1581874,128.89459,5.446381,85.383125,-1.7922938,101.285446,9.047307,71.88297,-5.5295143,99.30572,-2.3236692,68.82817,-6.2163754,61.549828,0.5892738,55.158615,-2.3809953,78.47634,4.090801,78.41768,-0.12750135,67.89612,1.4833229,79.6318,-4.9236946,73.68431,1.1564451,77.732025
Whitney Houston - I Will Always Love You (Official 4K Video).mp3,0.2653942,0.09220784,0.1324507,0.0038654911,1826.179781594905,296600.7160296382,1955.197554899771,104418.91952087345,3494.4455362325853,1053828.211362539,0.09087737942627709,0.0020059803602804674,-5.2241276e-06,0.017630603,1.0858808e-05,1.0858808e-05,135.99917763157896,-148.64264,2524.5164,113.70794,785.7358,-13.689202,355.8977,40.249657,487.22263,11.725162,151.58304,-4.9162602,221.57944,6.0805206,113.06657,3.6582174,76.343315,-6.4944816,77.41762,12.97597,152.7123,-10.615946,83.61523,-2.39899,153.07356,-6.5205956,43.06871,-4.942268,130.67188,3.3257587,64.7179,4.4850736,94.827965,2.7266805,117.54262,9.265845,113.90758,-6.617039,114.92307,-5.2409663,208.74037
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack.mp3,0.5012216,0.08915619,0.33170474,0.0050010975,2204.4209292138944,673453.0285363102,2469.4380256871154,213318.0730024596,4862.437264173762,3097032.225226438,0.05702988946400929,0.0013972050025310016,4.1723906e-05,0.08015121,2.4136074e-05,2.4136074e-05,161.4990234375,-36.221428,3299.01,91.070885,1007.8826,3.4282975,393.99646,31.117643,299.91357,8.541688,180.32097,17.33879,75.70366,-5.9608383,111.87626,7.6112056,81.031204,0.8049757,52.25597,6.723616,69.47995,1.4341593,53.474777,8.489568,39.752197,0.41667628,40.614277,7.2649627,35.056377,4.556784,38.21594,8.115756,34.40725,-0.64038986,32.41007,7.058565,44.36812,2.1698706,33.378666,3.849134,32.511604
ZAYN & Sia - Dusk Till Dawn (Lyrics).mp3,0.4001945,0.07862296,0.33424544,0.001800391,2227.008217087284,347545.23998336593,2494.056620360546,126640.29780654862,4826.30414933243,1962921.0492314864,0.09006634880514706,0.0010331497261203328,-8.2682645e-06,0.07456613,-5.8681322e-05,-5.8681322e-05,92.28515625,12.886864,687.9955,98.39477,528.1559,-2.690339,134.03355,24.646406,86.43734,7.7419662,57.97371,10.763056,93.152214,1.6112318,61.42603,6.618049,34.879803,1.8948708,36.746815,2.1943166,46.157787,1.6225845,46.84723,6.8632584,31.815739,-0.24478093,40.17531,9.439357,41.863453,1.9032619,37.59364,3.9665709,38.322193,-0.3863704,61.764076,6.173457,49.02839,-1.1732569,41.91926,7.2171264,45.402016
