filename,length,chroma_sftf_mean,chroma_sftf_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Duncan Laurence - Arcade (Lyrics) ft. FLETCHER.mp3,3307500,0.28304866,0.09048152,0.16505553,0.011372308,1506.3570351588955,496301.08447558276,1964.4481442724766,314413.45829149766,3103.0429029907605,2990729.250193307,0.059241667472910216,0.0018401995352293574,6.400402e-08,0.02687136,-4.2062446e-05,-4.2062446e-05,135.99917763157896,-167.014,15993.263,126.50343,1147.6823,15.003033,725.28455,15.883565,379.7223,-9.207745,191.44687,5.067621,222.6364,0.058997072,280.91464,-4.5959344,164.42287,-1.5279273,139.8143,-0.7112539,143.93758,-6.1375957,111.215996,-0.8766015,98.85509,-6.3227167,103.400635,0.6144244,161.71501,-4.584318,87.17043,0.91099405,113.3343,-6.3420095,91.07156,-2.9742544,80.09448,-4.3321714,73.78139,-2.5725641,84.44057
Duran Duran - Hungry like the Wolf (Official Music Video).mp3,3307500,0.41639057,0.084541745,0.12675613,0.00285245,2945.7773947174005,642894.6341015635,2633.4739761710675,127080.71072066292,5923.244182952786,1746539.235257405,0.1506853322126548,0.005680697094106507,-2.043916e-05,0.0069694035,2.90603e-05,2.90603e-05,129.19921875,-87.50588,6821.86,61.613766,607.28326,-3.7793727,437.86658,40.192863,295.8001,7.222203,168.36552,7.909281,118.12233,-0.19803746,104.929245,9.973151,77.48726,-1.2554487,72.11463,4.8029833,66.58602,-0.017934415,58.565334,2.2505097,57.909046,-6.737553,54.877563,1.8657172,43.44088,-3.7794893,42.50588,-1.5521384,37.87407,-7.4973674,37.345768,-2.0312333,45.942406,-2.045871,45.53976,0.37734032,41.008316
Ed Sheeran - Perfect (Lyrics).mp3,3307500,0.33536604,0.08500672,0.2081205,0.0054835696,2113.175538967809,1049208.0961635797,2348.4132562153527,381111.04627521575,4567.42238142173,4318227.144551243,0.08056852263931888,0.003486950990904144,9.308984e-06,0.03462735,1.4345918e-05,1.4345918e-05,95.703125,-97.07445,6291.2217,98.53571,1582.9198,14.757469,510.8871,38.814365,356.41293,3.1101968,191.5462,6.4994316,158.41046,0.9111201,153.9977,2.9919696,135.86777,-6.3321824,126.02305,7.855793,184.11986,-8.206629,93.04347,1.9508605,84.64868,-9.7077675,99.70882,-7.9391856,107.96583,-3.3156066,80.15548,-2.560238,65.19173,-8.684124,76.36574,5.635694,71.27438,-3.8131025,64.355484,-1.6087676,72.88814
Edmundo Inácio A Festa (Lyric Video) Festival da Canção 2023.mp3,3307500,0.33864492,0.093687244,0.20846318,0.0070835454,1822.7652503117233,649068.5251745204,2211.550323898495,262778.27778481675,3934.1862105142222,3213228.170324667,0.0645442809113777,0.0025608672761735663,-4.399567e-05,0.03492128,-3.8874376e-05,-3.8874376e-05,112.34714673913044,-107.550255,6715.3574,111.59671,1280.4751,2.9566262,465.18716,20.71159,195.02129,8.73884,242.75774,8.580829,159.24287,-7.1738396,137.70148,12.381049,140.85352,-10.06898,161.71432,6.5839663,86.310196,3.3279653,104.21223,-2.8592546,109.03703,-0.19201237,80.99911,3.2827103,121.376526,-4.1058755,78.26614,0.084853,110.94303,-7.095725,85.22042,-1.5092119,95.39765,-1.0935119,95.51689,-0.474916,149.4417
Evanescence - Bring Me To Life (Official Music Video).mp3,3307500,0.38288173,0.08590562,0.13770212,0.0017195424,2285.3946157434043,703997.0492873612,2402.0296132108692,347717.35194818414,4759.20122176132,3523669.1926800907,0.10603526206946594,0.0029905274621361395,-1.5958278e-06,0.011734988,-0.00018925099,-0.00018925099,129.19921875,-91.85368,6872.0547,96.97326,1653.2911,-4.1652236,335.62878,29.543015,268.93344,6.1159477,155.88147,6.0839796,88.68783,7.925072,72.80842,7.1889453,63.34729,2.1643968,61.268497,3.371956,67.307655,-5.1726465,59.952427,7.2760563,51.84932,-1.0396259,69.684395,5.086558,64.942505,1.8399473,64.446556,6.7321267,57.79095,-2.823445,56.566612,2.7314315,54.459316,-0.9453997,61.512108,6.7541904,52.962143
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign.mp3,3307500,0.393973,0.096506424,0.18996665,0.010727438,2319.8634550940887,1077914.9130809098,2609.79181589673,400986.30381034897,5173.840381161716,5984972.192195637,0.08758813249806502,0.005672506088162901,3.919006e-07,0.033040114,-1.3602974e-05,-1.3602974e-05,103.359375,-120.71031,9756.597,92.12557,1399.969,3.0197024,761.5395,-0.66941875,502.9325,2.615427,394.23923,-7.357557,357.13623,-6.766042,266.8108,-2.9954784,274.81876,-2.2305698,172.69011,3.7566974,162.6933,-2.145501,175.69096,5.3507013,117.15124,-0.55694824,120.45306,7.060102,68.939926,0.6033422,89.71136,4.6473894,65.94231,-2.1961863,75.095634,4.142624,72.469894,-1.3747023,68.6757,2.6621149,63.83545
Foreigner - I Want To Know What Love Is (Official Music Video).mp3,3307500,0.36367068,0.087123945,0.051617138,0.0005729936,1509.609870282718,436237.91869750747,2079.290604617778,254978.96362902582,3129.5844091645704,3325505.8493317002,0.05690660978618421,0.0011512670011731723,0.000860518,0.0020007112,0.0012292167,0.0012292167,80.74951171875,-254.97214,10359.095,125.28123,1117.7004,21.553865,920.79877,30.693066,225.85457,7.3836174,131.20131,8.071049,86.478096,-2.3221278,78.95456,4.2286787,103.70279,-5.0015197,65.09828,2.0903153,90.663574,-2.558241,60.046318,3.2783768,56.354214,-2.5531561,53.68542,-0.34086207,48.519203,-1.1592605,52.37466,0.48984024,45.272217,-3.295676,46.35707,3.5803068,46.959442,0.005380164,54.462013,3.1648803,47.285286
Guns N' Roses - Sweet Child O' Mine (Official Music Video).mp3,3307500,0.36169383,0.08241381,0.073033996,0.0003935644,2501.683608093349,239596.89934541282,2383.698073068489,144247.83016677713,5082.820931543876,1182793.4448514665,0.12696771296923376,0.0011968752634378013,-4.8503193e-06,0.002642593,-2.9006283e-06,-2.9006283e-06,123.046875,-128.7997,4134.5063,81.25315,461.48343,-20.52981,387.9359,32.002907,170.99315,-3.7246418,225.33365,3.8015146,96.84611,-2.7014332,92.0015,0.1801138,143.28772,-4.879662,71.81813,-4.0769954,98.16795,-1.5238495,63.025,-3.1131687,51.02555,-3.2934315,51.830845,-2.8976102,58.53327,-11.908794,78.16817,-1.15499,63.40656,-8.595784,69.70522,1.4859071,68.54017,-1.382967,71.13248,0.12680647,70.55086
Harry Styles - As It Was (Official Video).mp3,3307500,0.3299,0.0859426,0.34722564,0.009643204,1871.7769544093264,685535.5515905252,2322.388741001321,369377.6392119198,4008.03076398631,3924774.0701877866,0.07037576492356812,0.002342499171720067,1.9180026e-05,0.07204075,3.877189e-06,3.877189e-06,172.265625,-37.18167,5828.584,118.823006,1655.2916,10.397246,619.887,14.814734,171.76653,8.446106,134.57918,2.534469,151.16554,-2.5897424,140.00482,5.512766,85.36536,-0.43066308,83.01541,-0.20267689,77.52929,-1.6123555,68.447754,0.2789818,67.504234,-2.8511133,54.445057,1.6433935,57.07951,-1.6159854,65.05497,2.2436438,53.23843,0.6758912,53.46679,5.0304604,59.967377,-2.7671268,73.80756,0.09760179,76.84199
Imagine Dragons - Believer (Official Music Video).mp3,3307500,0.40443605,0.09500375,0.22534499,0.00560183,2392.290473365939,627904.7796142944,2441.4774113060084,160477.97570900503,5024.6329500653055,2339483.0855017076,0.0989902555388932,0.0032435857536264197,-4.5066654e-06,0.02984911,-2.4805831e-05,-2.4805831e-05,123.046875,-47.617256,6034.9253,84.50096,772.8831,-13.486318,391.24597,23.342318,292.70853,7.5010276,234.0869,9.760395,147.75145,-6.460719,135.60863,8.648638,115.57837,-2.736726,107.436554,0.31276983,122.37131,-0.11589987,82.66641,0.024224041,94.12587,1.6730299,84.91974,2.3740075,99.44598,1.1343262,79.5353,5.251443,82.898895,-3.6981983,66.73085,-1.1678575,57.394455,-2.693084,56.69344,-0.9051176,65.11095
