listenedAt,rated_emotion,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Cloudy (High cloud),idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Frost,idWeatherType = Rain and thunderstorms,idWeatherType = Intermittent ligth rain,idWeatherType = Light rain,idWeatherType = Intermittent rain,idWeatherType = Snow showers,idWeatherType = Cloudy,idWeatherType = Rain and snow,idWeatherType = Showers/rain,idWeatherType = Fog,idWeatherType = Snow,idWeatherType = No information,idWeatherType = Rain/showers,idWeatherType = Thunderstorms,idWeatherType = Hail,idWeatherType = Light showers/rain,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Cloudy ,idWeatherType = Mist,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Drizzle,idWeatherType = Convective clouds,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Strong,classPrecInt = Moderate,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.347,-0.96|-0.23,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.568,0.496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.125,0.585,0.177,0.831
0.347,-0.86|-0.234,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.602,0.521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.116,0.596,0.177,0.831
0.347,0.825|0.245,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.636,0.59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.643,0.63,0.177,0.831
0.348,0.795|0.293,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.641,0.585,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.529,0.583,0.177,0.831
0.348,0.392|-0.522,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.633,0.542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.593,0.376,0.177,0.831
0.349,-0.726|-0.26,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.576,0.526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.178,0.507,0.177,0.831
0.349,0.852|0.261,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.554,0.521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.59,0.584,0.177,0.831
0.35,-0.781|-0.263,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.497,0.506,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.136,0.602,0.177,0.831
0.35,0.821|0.251,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.585,0.561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.617,0.646,0.177,0.831
0.351,0.12|0.07,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.498,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.361,0.52,0.177,0.831
