date,initial_emotion,music_name,last_emotion,rated_emotion,instant_seconds|percentages|dominant_emotion,precipitaProb,tMin,tMax,predWindDir,idWeatherType,classWindSpeed,classPrecInt,local,sunrise,sunset,day_length,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,wind_degrees,timeOfDay
25/05/2023T23:38:11,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,neutral,neutral,6|0.479-0.0-0.002-45.782-0.062-0.001-53.675|neutral;9|0.058-0.0-0.233-0.135-0.342-0.009-99.224|neutral;12|72.104-0.0-0.128-0.142-4.148-0.005-23.473|angry;15|72.528-0.0-0.013-0.735-4.233-0.0-22.492|angry;18|19.485-0.0-0.001-0.107-0.816-0.001-79.59|neutral;21|15.497-0.0-0.001-0.502-0.994-0.0-83.006|neutral;24|9.37-0.0-0.022-1.021-1.61-0.01-87.967|neutral;27|1.136-0.0-0.002-0.241-0.24-0.0-98.381|neutral;30|14.574-0.0-0.004-0.8-1.699-0.0-82.923|neutral;33|67.408-0.001-0.439-0.172-8.918-0.01-23.051|angry;36|74.778-0.001-0.741-0.116-19.153-0.076-5.135|angry;39|87.726-0.003-0.99-1.085-3.974-0.442-5.782|angry;42|84.998-0.313-2.822-0.096-8.253-0.051-3.467|angry;45|59.684-1.464-20.075-0.228-12.774-3.958-1.818|angry;48|22.586-0.0-0.01-4.723-1.982-0.008-70.692|neutral;51|5.602-0.0-0.0-0.054-0.768-0.0-93.575|neutral;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,16,95,15,17,3.09,260,Night
25/05/2023T23:42:10,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,fear,neutral,6|8.331-0.0-0.167-3.147-1.977-0.03-86.347|neutral;9|7.573-0.0-1.42-2.62-1.363-1.387-85.638|neutral;12|34.901-0.0-0.076-0.0-2.634-0.0-62.388|neutral;15|81.083-0.002-1.154-0.211-7.564-0.01-9.978|angry;18|11.078-0.006-4.033-2.992-10.405-0.056-71.43|neutral;21|0.072-0.0-0.001-0.001-0.024-0.0-99.903|neutral;24|97.65-0.078-0.57-0.0-1.57-0.015-0.117|angry;27|0.036-0.0-0.043-0.058-0.063-0.001-99.798|neutral;30|12.047-0.0-0.753-0.005-8.461-0.001-78.734|neutral;33|1.89-0.0-1.632-0.021-3.158-0.022-93.277|neutral;36|72.287-0.0-0.337-0.79-5.345-0.038-21.202|angry;39|0.188-0.001-1.52-79.493-5.059-0.053-13.685|happy;42|20.18-1.206-28.472-0.023-35.141-0.082-14.897|sad;45|89.882-1.926-4.705-0.0-2.497-0.016-0.974|angry;48|59.981-5.568-23.211-0.001-8.764-0.024-2.45|angry;51|22.703-0.322-36.922-0.048-21.087-0.064-18.854|fear;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,16,95,15,17,3.09,260,Night
25/05/2023T23:43:21,fear,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,fear,happy,6|3.184-0.016-59.082-0.173-24.465-2.038-11.043|fear;9|8.836-4.131-70.827-0.066-11.485-0.584-4.071|fear;12|9.264-0.0-4.391-39.483-12.284-1.509-33.069|happy;15|0.193-0.0-0.107-12.084-2.1-0.022-85.494|neutral;18|0.026-0.0-24.055-0.769-34.586-0.006-40.559|neutral;21|45.459-0.017-11.892-0.013-37.656-0.002-4.961|angry;24|24.914-0.009-4.521-1.86-43.927-0.046-24.723|sad;27|0.472-0.0-3.13-16.742-0.031-2.85-76.775|neutral;30|0.011-0.0-0.0-0.116-0.006-0.0-99.867|neutral;33|35.039-0.0-0.082-0.866-1.732-0.008-62.274|neutral;36|3.109-0.0-0.004-0.512-0.174-0.0-96.2|neutral;39|0.808-0.371-93.286-0.027-4.321-0.817-0.37|fear;42|0.407-0.028-91.988-2.317-2.274-0.559-2.428|fear;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,16,95,15,17,3.09,260,Night
26/05/2023T16:42:50,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,sad,neutral,6|0.0-0.0-0.004-0.164-0.028-0.005-99.799|neutral;9|0.033-0.0-0.002-0.08-0.104-0.0-99.781|neutral;12|0.001-0.0-0.007-0.171-0.078-0.003-99.74|neutral;15|1.807-0.003-3.862-2.876-0.306-54.041-37.106|surprise;18|5.374-0.0-1.971-0.509-1.468-1.114-89.564|neutral;21|0.0-0.0-0.0-0.147-0.0-0.0-99.853|neutral;24|0.0-0.0-0.024-0.029-0.035-0.0-99.913|neutral;27|0.494-0.0-0.191-0.362-1.71-0.0-97.243|neutral;30|4.491-0.0-24.264-0.002-70.306-0.0-0.937|sad;33|2.751-0.0-1.639-0.113-93.875-0.0-1.621|sad;36|34.189-0.0-2.933-0.001-16.049-0.0-46.828|neutral;39|6.759-0.0-11.948-0.0-59.036-0.0-22.256|sad;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,21,21,64,18,22,6.17,200,Afternoon
26/05/2023T16:45:23,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,neutral,neutral,6|0.0-0.0-0.0-0.013-0.004-0.0-99.983|neutral;9|0.0-0.0-0.331-0.37-0.154-0.746-98.399|neutral;12|0.0-0.0-0.0-0.049-0.0-0.001-99.95|neutral;15|0.0-0.0-0.0-0.004-0.002-0.0-99.994|neutral;18|0.013-0.0-0.043-0.389-0.038-0.199-99.319|neutral;21|0.073-0.0-0.001-0.005-0.493-0.0-99.428|neutral;24|0.001-0.0-0.0-0.342-0.024-0.0-99.633|neutral;27|0.0-0.0-0.0-0.057-0.046-0.0-99.896|neutral;30|0.008-0.0-0.0-0.012-0.076-0.0-99.904|neutral;33|0.0-0.0-0.0-0.012-0.002-0.0-99.985|neutral;36|11.103-0.515-82.799-0.571-0.179-4.275-0.558|fear;39|0.0-0.0-0.0-0.089-0.002-0.0-99.909|neutral;42|0.0-0.0-0.0-0.249-0.002-0.0-99.749|neutral;45|0.215-0.0-0.891-0.236-0.42-2.394-95.844|neutral;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,21,21,64,18,22,6.17,200,Afternoon
26/05/2023T16:48:34,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,neutral,neutral,6|1.776-0.0-2.398-0.153-1.077-0.354-94.242|neutral;9|1.136-0.0-1.574-0.277-0.404-2.61-93.998|neutral;12|0.0-0.0-0.0-0.068-0.071-0.0-99.861|neutral;15|0.001-0.0-0.001-0.024-0.047-0.0-99.927|neutral;18|0.232-0.0-41.335-0.099-42.001-0.022-16.311|sad;21|0.042-0.0-0.001-0.0-0.862-0.0-99.095|neutral;24|0.249-0.0-0.129-0.006-1.608-0.0-98.009|neutral;27|14.593-0.0-19.354-0.002-3.864-0.001-62.187|neutral;30|0.034-0.0-0.387-0.0-0.761-0.0-98.817|neutral;33|0.0-0.0-0.0-0.032-0.025-0.0-99.943|neutral;36|77.362-0.0-0.756-0.015-2.721-0.0-19.146|angry;39|0.049-0.0-0.006-75.545-0.285-0.0-24.115|happy;42|0.015-0.0-0.006-0.0-2.975-0.0-97.004|neutral;45|4.227-0.0-1.781-0.016-5.249-0.001-88.726|neutral;48|0.184-0.0-0.29-0.011-1.615-0.006-97.895|neutral;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,21,21,64,18,22,6.17,200,Afternoon
26/05/2023T16:49:39,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,neutral,happy,6|8.983-0.0-0.707-0.112-1.889-0.036-88.273|neutral;9|1.107-0.0-0.15-0.071-1.925-0.002-96.745|neutral;12|0.135-0.0-0.0-0.0-0.484-0.0-99.381|neutral;15|5.162-0.003-57.393-0.217-4.049-0.278-32.898|fear;18|0.001-0.0-0.0-66.153-0.004-0.0-33.842|happy;21|0.094-0.0-0.001-0.023-0.027-0.0-99.855|neutral;24|0.676-0.002-2.83-5.481-6.38-0.01-84.62|neutral;27|2.108-0.0-0.765-1.591-0.94-0.066-94.53|neutral;30|9.961-0.0-0.174-0.088-1.848-0.001-87.928|neutral;33|0.002-0.0-0.001-3.924-0.028-0.0-96.045|neutral;36|3.284-0.0-23.082-0.003-10.95-2.046-60.635|neutral;39|0.0-0.0-0.016-0.248-0.013-0.003-99.72|neutral;42|0.001-0.0-0.0-0.123-0.015-0.0-99.861|neutral;45|0.0-0.0-0.0-0.125-0.006-0.0-99.869|neutral;48|0.084-0.0-1.575-0.626-2.053-0.031-95.631|neutral;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,21,21,64,18,22,6.17,200,Afternoon
26/05/2023T16:50:20,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,fear,neutral,6|8.983-0.0-0.707-0.112-1.889-0.036-88.273|neutral;9|1.107-0.0-0.15-0.071-1.925-0.002-96.745|neutral;12|0.135-0.0-0.0-0.0-0.484-0.0-99.381|neutral;15|5.162-0.003-57.393-0.217-4.049-0.278-32.898|fear;18|0.001-0.0-0.0-66.153-0.004-0.0-33.842|happy;21|0.094-0.0-0.001-0.023-0.027-0.0-99.855|neutral;24|0.676-0.002-2.83-5.481-6.38-0.01-84.62|neutral;27|2.108-0.0-0.765-1.591-0.94-0.066-94.53|neutral;30|9.961-0.0-0.174-0.088-1.848-0.001-87.928|neutral;33|0.002-0.0-0.001-3.924-0.028-0.0-96.045|neutral;36|3.284-0.0-23.082-0.003-10.95-2.046-60.635|neutral;39|0.0-0.0-0.016-0.248-0.013-0.003-99.72|neutral;42|0.001-0.0-0.0-0.123-0.015-0.0-99.861|neutral;45|0.0-0.0-0.0-0.125-0.006-0.0-99.869|neutral;48|0.084-0.0-1.575-0.626-2.053-0.031-95.631|neutral;51|0.025-0.0-73.058-0.071-0.734-0.072-26.041|fear;6|0.0-0.0-0.0-0.044-0.001-0.0-99.954|neutral;9|0.0-0.0-0.003-1.737-0.066-0.0-98.193|neutral;12|0.009-0.0-0.123-0.082-0.375-0.001-99.411|neutral;15|0.001-0.0-0.0-0.118-0.061-0.0-99.819|neutral;18|0.0-0.0-0.062-0.492-0.024-0.024-99.399|neutral;21|0.0-0.0-0.003-0.376-0.047-0.0-99.574|neutral;24|0.0-0.0-0.0-0.015-0.017-0.0-99.968|neutral;27|0.012-0.0-29.48-0.127-0.661-22.288-47.432|neutral;30|0.057-0.0-0.988-0.066-0.304-0.003-98.582|neutral;33|0.001-0.0-0.025-0.024-0.035-0.0-99.916|neutral;36|0.0-0.0-0.022-0.236-0.185-0.0-99.556|neutral;39|0.204-0.0-5.547-0.164-0.256-0.598-93.232|neutral;42|0.16-0.0-94.017-0.011-0.123-4.932-0.758|fear;45|0.049-0.0-84.672-0.024-0.146-5.824-9.285|fear;48|0.022-0.0-1.127-0.037-0.444-0.211-98.159|neutral;51|0.134-0.0-85.03-0.041-0.325-0.416-14.055|fear;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,21,21,64,18,22,6.17,200,Afternoon
26/05/2023T16:52:50,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,surprise,neutral,6|0.081-0.0-0.0-0.004-0.18-0.0-99.734|neutral;9|0.0-0.0-0.0-0.0-0.0-0.0-100.0|neutral;12|0.002-0.0-0.0-0.006-0.055-0.0-99.936|neutral;15|0.006-0.0-0.006-0.104-0.791-0.0-99.095|neutral;18|0.0-0.0-0.002-0.014-0.003-0.002-99.98|neutral;21|0.0-0.0-0.0-0.635-0.006-0.0-99.359|neutral;24|0.0-0.0-0.0-0.113-0.001-0.0-99.886|neutral;27|0.003-0.0-0.0-1.426-0.023-0.0-98.547|neutral;30|0.003-0.0-3.325-41.147-0.012-34.008-21.505|happy;33|0.044-0.0-45.435-16.68-0.024-0.978-36.839|fear;36|2.494-0.0-0.924-0.102-0.016-0.276-96.188|neutral;39|0.059-0.0-0.003-0.001-0.08-0.0-99.856|neutral;42|0.681-0.0-69.893-0.319-0.027-5.866-23.213|fear;45|54.792-0.0-11.865-0.618-0.031-32.556-0.139|angry;48|0.177-0.0-15.411-0.02-0.005-74.17-10.217|surprise;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,21,21,64,18,22,6.17,200,Afternoon
26/05/2023T16:54:36,neutral,Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,neutral,neutral,6|0.018-0.0-0.003-0.007-0.523-0.0-99.449|neutral;9|0.05-0.01-98.002-0.236-0.51-0.597-0.595|fear;12|0.002-0.0-67.697-4.47-0.21-22.999-4.622|fear;15|0.0-0.0-0.0-0.039-0.008-0.0-99.953|neutral;18|1.085-0.0-0.0-0.174-0.857-0.0-97.884|neutral;21|0.0-0.0-0.0-0.591-0.002-0.0-99.406|neutral;24|0.0-0.0-0.007-0.112-0.01-0.037-99.833|neutral;27|0.0-0.0-0.006-0.152-0.012-0.443-99.386|neutral;30|0.001-0.0-0.0-0.707-0.05-0.0-99.242|neutral;33|0.0-0.0-0.0-0.015-0.009-0.0-99.975|neutral;36|0.0-0.0-0.007-0.018-0.258-0.0-99.716|neutral;39|0.001-0.0-0.001-0.032-0.162-0.0-99.803|neutral;,55.0,13,25,SW,Showers/rain,Moderate,Moderate,Leiria,05:10:45,19:53:45,14:43:00,75,22,22,63,18,23,6.17,200,Afternoon
